City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Cabo San Lucas,MX,86.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
12,Rikitea,PF,77.99,clear sky,-23.1203,-134.9692,Pension Maro'i
13,Teluk Nibung,ID,81.43,overcast clouds,3.0010000000000003,99.8164,Hotel Assyifa
16,Kapaa,US,77.0,overcast clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
18,Puri,IN,81.1,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
20,Carutapera,BR,75.52,overcast clouds,-1.195,-46.02,Lidera
24,Lorengau,PG,81.43,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
30,Atuona,PF,80.11,light rain,-9.8,-139.0333,Villa Enata
32,Duku,NG,81.03,scattered clouds,11.2361,4.9073,
33,Samut Sakhon,TH,82.99,overcast clouds,13.5833,100.3,Taweesuk Residence
36,Vaini,TO,77.0,few clouds,-21.2,-175.2,Keleti Beach Resort
37,Lae,PG,85.89,broken clouds,-6.7221,146.9847,Phils Hotel
52,Bialong,PH,87.46,overcast clouds,6.9806,124.8889,Bialong Shariff Aguak
54,Flinders,AU,82.0,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
57,Tura,IN,82.22,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
61,Catuday,PH,82.0,few clouds,16.2923,119.8062,GResort
66,Carnarvon,AU,80.6,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
68,Basco,PH,75.88,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
69,Atar,MR,78.85,broken clouds,20.5169,-13.0499,Oumou Elghoura
70,Nioro,GM,76.95,overcast clouds,13.35,-15.75,
71,Arraial Do Cabo,BR,75.87,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
72,Abasolo,MX,78.8,broken clouds,20.45,-101.5167,Hotel Balneario Parque Acuático la Caldera
77,Wawa,NG,81.18,few clouds,9.9022,4.4192,
83,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
85,Butaritari,KI,82.49,light rain,3.0707,172.7902,Isles Sunset Lodge
86,Pemangkat,ID,82.35,scattered clouds,1.1667,108.9667,Kost H.Syamsuddin
87,Broken Hill,AU,75.2,clear sky,-31.95,141.4333,Royal Exchange Hotel
92,Vila Do Maio,CV,77.0,clear sky,15.1333,-23.2167,Residence 'I Delfini'
95,Sibolga,ID,81.3,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
96,Hobyo,SO,81.45,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
99,Dingle,PH,86.29,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
102,Cayenne,GF,79.0,light rain,4.9333,-52.3333,Hôtel Le Dronmi
106,Sibu,MY,78.8,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
107,Avarua,CK,82.4,light rain,-21.2078,-159.775,Paradise Inn
111,Gudari,IN,82.24,clear sky,19.35,83.7833,Hotel maa majhigouri
115,Vung Tau,VN,82.36,broken clouds,10.345999999999998,107.0843,Green hotel
118,Bambous Virieux,MU,80.01,scattered clouds,-20.3428,57.7575,Casa Tia Villa
120,Georgetown,MY,84.99,few clouds,5.4112,100.3354,Cititel Penang
123,Ixtapa,MX,77.0,clear sky,20.7,-105.2,Hotel Plaza Providencia
126,Puerto Ayora,EC,77.0,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
133,Bima,ID,80.96,overcast clouds,-8.4667,118.7167,Lambitu Hotel
135,Caravelas,BR,76.39,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
140,Souillac,MU,80.01,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
142,Chivolo,CO,77.18,overcast clouds,10.025,-74.6228,Hotel Majest
150,Porto Novo,BJ,81.12,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
154,Paracuru,BR,82.99,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
159,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
160,Bintulu,MY,80.6,few clouds,3.1667,113.0333,900 Boutique INN
163,Narasannapeta,IN,81.7,clear sky,18.4167,84.05,G.lingaraju home
168,Fare,PF,81.77,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
171,Attur,IN,81.66,clear sky,11.6,78.6167,Balaji mobiles AtoZ SERVICES
172,Gorontalo,ID,89.19,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
175,Gambissara,SN,79.2,overcast clouds,13.2382,-14.3108,
177,Praya,CV,77.0,clear sky,14.9215,-23.5087,LT Aparthotel
178,Bairiki,KI,84.2,light rain,1.3292,172.9752,Tarawa Boutique Hotel
185,Namatanai,PG,84.18,light rain,-3.6667,152.4333,Namatanai Hotel
187,Guanica,PR,78.01,scattered clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
189,Yenagoa,NG,77.45,few clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
191,Salaga,GH,85.78,overcast clouds,8.5508,-0.5188,Bore Nada Guest House
193,Kadiri,IN,81.32,scattered clouds,14.1167,78.1667,Railway Guest House
194,Kavaratti,IN,82.27,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
199,Mahebourg,MU,80.01,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
203,Garissa,KE,78.66,moderate rain,-0.4536,39.6401,Sharif Plaza Hotel
205,Manokwari,ID,82.58,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
208,Kulhudhuffushi,MV,82.76,scattered clouds,6.6221,73.07,Haajy Guest House 1
212,Pangani,TZ,75.25,overcast clouds,-5.4333,38.9667,Sea Side Community Hostel
217,Lazaro Cardenas,MX,76.62,broken clouds,17.9583,-102.2,Hotel Quinta Antigua
219,Samarai,PG,84.96,overcast clouds,-10.6167,150.6667,Nuli Sapi
222,Forbes,AU,81.21,clear sky,-33.3833,148.0167,Lake Forbes Motel
223,Mount Isa,AU,84.2,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
224,Itarema,BR,77.23,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
231,Touros,BR,77.0,few clouds,-5.1989,-35.4608,INN NEW HORIZON
232,Alice Springs,AU,78.8,clear sky,-23.7,133.8833,Desert Palms Alice Springs
241,Sechura,PE,75.81,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
247,Singkang,MY,82.4,few clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
249,Salalah,OM,77.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
252,Hithadhoo,MV,82.89,scattered clouds,-0.6,73.0833,Scoop Guest House
263,Acapulco,MX,82.4,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
264,Namibe,AO,79.48,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
265,Sahuaripa,MX,81.59,clear sky,29.05,-109.2333,Hotel El Molino
271,Kirakira,SB,84.25,overcast clouds,-10.4544,161.9205,SanBiz Lodge
273,Kimbe,PG,83.75,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
274,Iralaya,HN,75.2,overcast clouds,15.0,-83.2333,Iglesia morava renovada
277,Jalingo,NG,81.84,few clouds,8.8833,11.3667,Debright Motel
282,Kieta,PG,84.22,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
283,Saint-Joseph,RE,77.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
285,Panacan,PH,86.0,few clouds,9.2463,118.4082,Mom's Place Resort
290,Bowen,AU,77.0,light rain,-20.0167,148.2333,Castle Motor Lodge Motel
293,Biltine,TD,79.18,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
296,Grand Gaube,MU,80.01,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
297,Bubaque,GW,75.6,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
302,Moussoro,TD,78.67,scattered clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
303,Bengkulu,ID,79.27,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
308,San Pedro,PH,82.0,broken clouds,14.35,121.0167,OYO 412 Viewfort Venue
312,Tariba,VE,78.8,broken clouds,7.8188,-72.2243,Hotel Las Lomas
313,Pimentel,PE,75.2,clear sky,-6.8367,-79.9342,Casona Del Muelle
317,Gorom-Gorom,BF,81.84,clear sky,14.4439,-0.2361,
322,Gboko,NG,80.6,scattered clouds,7.3179,8.9951,Bays Garden Hotel
