City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Blackwater,-23.5833,148.8833,71.98,81,100,12.3,AU,light rain
1,Channel-Port Aux Basques,47.5702,-59.1367,42.37,95,100,32.61,CA,light rain
2,Ushuaia,-54.8,-68.3,39.2,81,75,19.57,AR,light snow
3,Kununurra,-15.7667,128.7333,91.4,43,4,10.36,AU,clear sky
4,Rundu,-17.9333,19.7667,64.54,60,2,3.91,NA,clear sky
5,Jamestown,42.097,-79.2353,46.4,46,1,5.75,US,clear sky
6,Cabo San Lucas,22.8909,-109.9124,86.0,21,1,17.27,MX,clear sky
7,East London,-33.0153,27.9116,67.87,73,83,13.87,ZA,broken clouds
8,Qaanaaq,77.484,-69.3632,-12.1,56,11,9.22,GL,few clouds
9,Emerald,-23.5333,148.1667,71.6,94,75,8.05,AU,light rain
10,Khatanga,71.9667,102.5,-2.65,82,10,14.32,RU,clear sky
11,Monkey Bay,-14.0728,34.9201,73.06,80,34,13.38,MW,scattered clouds
12,Rikitea,-23.1203,-134.9692,77.99,65,0,18.79,PF,clear sky
13,Teluk Nibung,3.001,99.8164,81.43,80,95,3.51,ID,overcast clouds
14,Bluff,-46.6,168.3333,57.99,57,100,23.0,NZ,overcast clouds
15,Busselton,-33.65,115.3333,70.0,79,0,4.0,AU,clear sky
16,Kapaa,22.0752,-159.319,77.0,57,90,17.27,US,overcast clouds
17,Clyde River,70.4692,-68.5914,-13.0,77,75,9.22,CA,broken clouds
18,Puri,19.8,85.85,81.1,78,0,5.59,IN,clear sky
19,Hermanus,-34.4187,19.2345,64.0,91,100,1.99,ZA,overcast clouds
20,Carutapera,-1.195,-46.02,75.52,95,100,5.91,BR,overcast clouds
21,Vardo,70.3705,31.1107,35.6,87,80,12.75,NO,broken clouds
22,Narsaq,60.9167,-46.05,37.4,87,90,2.3,GL,overcast clouds
23,Cape Town,-33.9258,18.4232,64.0,94,0,11.5,ZA,clear sky
24,Lorengau,-2.0226,147.2712,81.43,78,100,4.56,PG,overcast clouds
25,Mataura,-46.1927,168.8643,57.99,57,100,23.0,NZ,overcast clouds
26,Kamuli,0.9472,33.1197,64.51,97,100,3.33,UG,light rain
27,Baherden,38.4362,57.4316,53.6,50,0,6.78,TM,clear sky
28,New Norfolk,-42.7826,147.0587,68.0,53,70,4.0,AU,broken clouds
29,Sarkand,45.41,79.9186,45.25,54,100,3.67,KZ,overcast clouds
30,Atuona,-9.8,-139.0333,80.11,79,76,8.12,PF,light rain
31,Escarcega,18.6089,-90.7454,73.89,69,100,3.56,MX,overcast clouds
32,Duku,11.2361,4.9073,81.03,12,36,4.92,NG,scattered clouds
33,Samut Sakhon,13.5833,100.3,82.99,73,100,7.2,TH,overcast clouds
34,Albany,42.6001,-73.9662,51.8,37,75,9.22,US,broken clouds
35,Tobane,-21.95,27.9,60.31,90,0,2.46,BW,clear sky
36,Vaini,-21.2,-175.2,77.0,69,20,11.5,TO,few clouds
37,Lae,-6.7221,146.9847,85.89,64,58,6.55,PG,broken clouds
38,Murgab,37.4966,61.9714,48.2,66,0,6.91,TM,clear sky
39,Torbay,47.6666,-52.7314,37.99,100,90,12.66,CA,fog
40,Mount Gambier,-37.8333,140.7667,66.2,48,1,11.5,AU,clear sky
41,Port Alfred,-33.5906,26.891,68.49,81,100,12.28,ZA,overcast clouds
42,Barrow,71.2906,-156.7887,-0.4,65,1,14.97,US,clear sky
43,Hami,42.8,93.45,54.77,30,53,11.41,CN,broken clouds
44,Los Llanos De Aridane,28.6585,-17.9182,66.2,63,90,4.61,ES,overcast clouds
45,Dikson,73.5069,80.5464,8.64,92,100,6.44,RU,overcast clouds
46,Fortuna,40.5982,-124.1573,53.01,87,90,8.05,US,overcast clouds
47,Castro,-24.7911,-50.0119,57.07,98,83,7.67,BR,broken clouds
48,Ribeira Grande,38.5167,-28.7,61.34,78,95,15.1,PT,overcast clouds
49,Port Elizabeth,-33.918,25.5701,66.2,88,75,14.97,ZA,light rain
