City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Kadoma,34.7333,135.5833,52.0,71,75,4.61,JP,broken clouds
1,Viedma,-40.8135,-62.9967,73.9,54,100,13.6,AR,overcast clouds
2,Padang,-0.9492,100.3543,73.4,100,20,3.44,ID,few clouds
3,Mabaruma,8.2,-59.7833,74.66,94,100,3.47,GY,overcast clouds
4,Klaksvik,62.2266,-6.589,24.8,93,75,39.12,FO,light snow
5,Poum,-20.2333,164.0167,80.35,65,65,20.04,NC,broken clouds
6,Conceicao Do Araguaia,-8.2578,-49.2647,84.2,79,0,3.44,BR,clear sky
7,Butaritari,3.0707,172.7902,80.53,81,100,15.03,KI,moderate rain
8,Bellavista,-7.0561,-76.5911,77.0,94,75,2.3,PE,broken clouds
9,Kaitangata,-46.2817,169.8464,64.99,44,14,13.0,NZ,few clouds
10,Chokurdakh,70.6333,147.9167,-14.82,92,66,1.5,RU,broken clouds
11,Busselton,-33.65,115.3333,57.99,98,59,3.47,AU,broken clouds
12,Mataura,-46.1927,168.8643,62.01,67,43,5.99,NZ,scattered clouds
13,Tasiilaq,65.6145,-37.6368,15.8,86,75,21.85,GL,light rain
14,Manokwari,-0.8667,134.0833,81.21,77,100,3.49,ID,overcast clouds
15,Punta Arenas,-53.15,-70.9167,46.4,66,0,12.66,CL,clear sky
16,Iskateley,67.6803,53.1512,27.21,91,70,13.06,RU,broken clouds
17,Upernavik,72.7868,-56.1549,5.0,82,100,4.59,GL,overcast clouds
18,Norman Wells,65.282,-126.8329,8.6,61,75,20.71,CA,snow
19,Tuktoyaktuk,69.4541,-133.0374,-5.8,77,40,25.32,CA,snow
20,Lalin,42.7167,-8.1167,48.0,71,0,6.91,ES,clear sky
21,Codrington,-38.2667,141.9667,63.18,64,100,10.09,AU,overcast clouds
22,Castro,-24.7911,-50.0119,61.34,88,89,7.9,BR,overcast clouds
23,Adrar,20.5022,-10.0711,76.53,12,4,11.27,MR,clear sky
24,Albany,42.6001,-73.9662,59.0,22,20,14.97,US,few clouds
25,Atuona,-9.8,-139.0333,80.29,79,23,8.37,PF,light rain
26,Cherskiy,68.75,161.3,-7.6,89,60,3.76,RU,broken clouds
27,Capim Grosso,-11.3811,-40.0128,75.47,64,84,14.5,BR,broken clouds
28,Azua,18.4532,-70.7349,82.4,69,75,13.8,DO,broken clouds
29,Rikitea,-23.1203,-134.9692,78.24,69,49,14.34,PF,light rain
30,Kapaa,22.0752,-159.319,80.6,57,75,23.02,US,light rain
31,Atar,20.5169,-13.0499,80.58,15,22,10.33,MR,few clouds
32,Mbandaka,0.0487,18.2603,72.77,91,100,4.21,CD,light rain
33,Frontera,26.9333,-101.45,84.2,30,1,6.91,MX,clear sky
34,Olden,61.8364,6.8064,33.01,93,100,8.01,NO,snow
35,Kleinmachnow,52.4,13.2333,36.0,74,20,17.27,DE,few clouds
36,Ushuaia,-54.8,-68.3,41.0,75,0,3.44,AR,clear sky
37,Ribeira Grande,38.5167,-28.7,59.4,78,84,11.74,PT,broken clouds
38,Mar Del Plata,-38.0023,-57.5575,70.0,100,76,8.05,AR,light rain
39,Shubarkuduk,49.1447,56.4872,41.9,87,100,13.69,KZ,overcast clouds
40,Nemuro,43.3236,145.575,33.31,64,0,6.46,JP,clear sky
41,Constitucion,-35.3333,-72.4167,56.82,91,100,5.86,CL,overcast clouds
42,Kruisfontein,-34.0033,24.7314,59.0,94,100,6.55,ZA,overcast clouds
43,Palmer,42.1584,-72.3287,60.8,20,40,19.57,US,scattered clouds
44,Mastic Beach,40.7668,-72.8521,62.6,17,1,14.97,US,clear sky
45,Avarua,-21.2078,-159.775,84.2,74,40,18.41,CK,scattered clouds
46,Green Valley,31.8543,-110.9937,90.0,4,31,3.0,US,scattered clouds
47,Bredasdorp,-34.5322,20.0403,59.0,94,100,8.05,ZA,overcast clouds
48,Thompson,55.7435,-97.8558,32.0,100,90,9.22,CA,light snow
49,Kasongo-Lunda,-6.4667,16.8167,70.74,94,63,2.48,CD,broken clouds
50,Dhidhdhoo,6.8833,73.1,82.56,73,64,11.12,MV,broken clouds
51,Saint-Philippe,-21.3585,55.7679,78.8,69,0,6.91,RE,clear sky
52,Harrismith,-28.2728,29.1295,49.62,78,49,2.84,ZA,scattered clouds
53,Bambous Virieux,-20.3428,57.7575,78.01,83,75,3.44,MU,broken clouds
54,Gouyave,12.1646,-61.7296,80.6,78,20,11.5,GD,few clouds
55,Anshun,26.25,105.9333,54.45,97,100,4.29,CN,overcast clouds
56,Pevek,69.7008,170.3133,-9.99,96,100,5.26,RU,overcast clouds
57,Puerto Ayora,-0.7393,-90.3518,86.0,66,20,17.27,EC,few clouds
58,Magomeni,-6.8,39.25,73.9,96,90,5.08,TZ,moderate rain
59,Dikson,73.5069,80.5464,-5.35,100,96,2.1,RU,overcast clouds
60,Hinton,53.4001,-117.5857,48.2,25,56,9.22,CA,broken clouds
61,Quarai,-30.3875,-56.4514,68.36,93,100,2.95,BR,overcast clouds
62,Bouar,5.934,15.596,70.68,54,37,2.8,CF,scattered clouds
63,Mayo,38.8876,-76.5119,66.2,32,1,3.44,US,clear sky
64,Cape Town,-33.9258,18.4232,63.0,77,0,12.66,ZA,clear sky
65,Laguna,38.421,-121.4238,72.0,40,1,6.91,US,clear sky
66,Tahoua,14.8888,5.2692,82.44,7,17,7.49,NE,few clouds
67,Hermanus,-34.4187,19.2345,60.01,90,99,4.0,ZA,overcast clouds
68,Salym,60.0625,71.4789,32.95,98,100,6.62,RU,light snow
69,Gushikawa,26.3544,127.8686,68.0,60,90,11.5,JP,overcast clouds
70,Oussouye,12.485,-16.5469,75.2,88,0,4.61,SN,clear sky
71,Hervey Bay,-25.2986,152.8535,75.99,90,77,5.01,AU,broken clouds
72,East London,-33.0153,27.9116,64.27,84,100,7.94,ZA,light rain
73,Ravar,31.2656,56.8055,56.12,17,0,3.22,IR,clear sky
74,Ugoofaaru,5.6667,73.0,82.62,69,38,10.0,MV,scattered clouds
75,Safford,32.834,-109.7076,89.6,5,1,17.27,US,clear sky
76,Shelburne,44.0787,-80.2041,57.2,33,40,5.75,CA,scattered clouds
77,Karratha,-20.7377,116.8463,85.17,35,7,6.6,AU,clear sky
78,Mehamn,71.0357,27.8492,34.66,98,100,17.45,NO,overcast clouds
79,Roncesvalles,4.0108,-75.6049,78.8,61,75,8.05,CO,broken clouds
80,Repnoye,51.5921,43.1861,36.72,83,97,5.97,RU,light rain
81,Boguchany,58.3814,97.4531,30.02,95,100,3.06,RU,overcast clouds
82,La Rioja,42.25,-2.5,48.2,66,0,5.75,ES,clear sky
83,Saint Anthony,45.0205,-93.218,84.2,28,1,12.66,US,clear sky
84,Bethel,41.3712,-73.414,62.6,17,1,11.5,US,clear sky
85,Taoudenni,22.6783,-3.9836,79.9,7,0,9.04,ML,clear sky
86,Thio,-21.6167,166.2167,80.6,65,90,5.75,NC,overcast clouds
87,San Cristobal,7.7669,-72.225,82.4,57,75,8.05,VE,broken clouds
88,Kutum,14.2,24.6667,70.03,8,1,7.54,SD,clear sky
89,Idrinskoye,54.3708,92.1358,34.23,96,100,3.09,RU,overcast clouds
90,Esperance,-33.8667,121.9,64.4,68,55,4.61,AU,broken clouds
91,Waingapu,-9.6567,120.2641,72.97,79,100,27.09,ID,overcast clouds
92,Talcahuano,-36.7167,-73.1167,59.0,82,75,11.5,CL,broken clouds
93,Dunedin,-45.8742,170.5036,62.01,54,6,14.0,NZ,clear sky
94,Hofn,64.2539,-15.2082,20.21,55,31,14.67,IS,scattered clouds
95,Ebebiyin,2.1511,11.3353,69.96,98,97,2.59,GQ,overcast clouds
96,Clute,29.0247,-95.3988,73.4,64,20,8.05,US,few clouds
97,Zhuhai,22.2769,113.5678,75.2,83,20,5.75,CN,few clouds
98,Sao Filipe,14.8961,-24.4956,75.25,64,4,8.75,CV,clear sky
99,Nikolskoye,59.7035,30.7861,36.0,93,90,4.47,RU,snow
100,Bluff,-46.6,168.3333,62.01,67,51,5.99,NZ,broken clouds
101,Tucurui,-3.7661,-49.6725,75.34,94,100,2.71,BR,overcast clouds
102,Ludvika,60.1496,15.1878,34.0,55,75,12.66,SE,broken clouds
103,Egvekinot,66.3167,-179.1667,5.11,68,0,5.44,RU,clear sky
104,Mazatlan,23.2167,-106.4167,81.0,50,1,13.8,MX,clear sky
105,Tuzha,57.6062,47.936,28.56,93,77,7.65,RU,broken clouds
106,Provideniya,64.3833,-173.3,5.0,72,90,22.37,RU,snow
107,Jaranwala,31.3333,73.4333,69.62,38,51,6.22,PK,broken clouds
108,Kavieng,-2.5744,150.7967,83.12,74,99,6.73,PG,overcast clouds
109,Alice Springs,-23.7,133.8833,68.0,52,1,4.61,AU,clear sky
110,Havre-Saint-Pierre,50.2334,-63.5986,42.8,93,90,9.22,CA,overcast clouds
111,Maningrida,-12.0667,134.2667,80.62,61,33,4.5,AU,scattered clouds
112,Hilo,19.7297,-155.09,75.2,73,90,14.97,US,heavy intensity rain
113,Port Elizabeth,-33.918,25.5701,59.0,94,90,3.44,ZA,light rain
114,Barrow,71.2906,-156.7887,-0.4,65,75,11.5,US,broken clouds
115,Coihaique,-45.5752,-72.0662,62.6,51,75,10.36,CL,broken clouds
116,Ranau,5.9538,116.6641,75.2,94,20,4.61,MY,few clouds
117,The Valley,18.217,-63.0578,79.0,73,20,6.91,AI,few clouds
118,Jamestown,42.097,-79.2353,51.8,37,90,5.75,US,light rain
119,Isangel,-19.55,169.2667,80.6,74,20,11.5,VU,few clouds
120,Kloulklubed,7.0419,134.2556,82.4,78,75,3.44,PW,broken clouds
121,Baykit,61.67,96.37,28.99,99,100,2.48,RU,overcast clouds
122,Longyearbyen,78.2186,15.6401,12.2,67,40,18.41,SJ,scattered clouds
123,Berdigestyakh,62.0989,126.6992,-2.4,94,99,3.11,RU,overcast clouds
124,Yellowknife,62.456,-114.3525,30.0,100,90,13.8,CA,snow
125,Qaanaaq,77.484,-69.3632,0.32,58,100,3.6,GL,overcast clouds
126,Krasnorechenskiy,44.6265,135.3532,44.26,42,65,7.2,RU,broken clouds
127,Humberto De Campos,-2.5983,-43.4611,77.18,85,100,5.7,BR,overcast clouds
128,Nelson Bay,-32.7167,152.15,79.0,83,75,10.36,AU,broken clouds
129,Maragogi,-9.0122,-35.2225,77.79,70,65,7.36,BR,broken clouds
130,Adamovka,51.5223,59.9396,30.29,98,100,5.19,RU,light snow
131,Zambezi,-13.5432,23.1047,61.79,73,21,5.39,ZM,few clouds
132,Lebu,-37.6167,-73.65,58.96,77,100,16.08,CL,moderate rain
133,Bubaque,11.2833,-15.8333,76.14,83,1,16.24,GW,clear sky
134,Same,-4.0667,37.7333,67.68,95,82,3.53,TZ,broken clouds
135,Mangrol,21.1167,70.1167,77.45,75,0,10.22,IN,clear sky
136,Ternate,0.8,127.4,81.57,72,60,4.68,ID,broken clouds
137,Carnarvon,-24.8667,113.6333,73.4,73,75,11.5,AU,broken clouds
138,Chuy,-33.6971,-53.4616,69.48,84,68,10.94,UY,light rain
139,Narsaq,60.9167,-46.05,39.2,75,75,1.14,GL,broken clouds
140,Khatanga,71.9667,102.5,8.26,90,100,4.83,RU,overcast clouds
141,Nome,64.5011,-165.4064,3.99,71,90,14.97,US,overcast clouds
142,Fare,-16.7,-151.0167,81.14,68,95,16.69,PF,overcast clouds
143,Clyde River,70.4692,-68.5914,-0.4,78,75,13.8,CA,broken clouds
144,Cabo San Lucas,22.8909,-109.9124,89.6,22,1,17.27,MX,clear sky
145,La Ronge,55.1001,-105.2842,42.8,42,98,9.22,CA,overcast clouds
146,Faanui,-16.4833,-151.75,81.52,71,97,16.87,PF,light rain
147,Vaini,-21.2,-175.2,80.6,69,20,11.5,TO,few clouds
148,Mao,39.8885,4.2658,57.2,88,0,10.36,ES,clear sky
149,Harboore,56.6175,8.1807,37.0,71,40,1.99,DK,scattered clouds
150,Ancud,-41.8697,-73.8203,60.8,63,90,13.8,CL,moderate rain
151,Kodiak,57.79,-152.4072,39.2,30,1,24.16,US,clear sky
152,Nouadhibou,20.931,-17.0347,68.0,64,5,17.27,MR,clear sky
153,Sagauli,26.7833,84.7333,70.03,16,0,5.79,IN,clear sky
154,Oksfjord,70.2396,22.3479,35.6,80,20,14.97,NO,light snow
155,Minab,27.1467,57.0801,71.6,73,20,4.61,IR,haze
156,Salalah,17.0151,54.0924,77.0,88,0,2.3,OM,clear sky
157,Javanrud,34.7961,46.5172,44.69,65,0,6.96,IR,clear sky
158,Farafangana,-22.8167,47.8333,72.64,88,3,7.14,MG,clear sky
159,Port Alfred,-33.5906,26.891,62.47,81,100,9.35,ZA,light rain
160,Santa Maria,-29.6842,-53.8069,73.4,83,0,3.44,BR,moderate rain
161,Millville,39.4021,-75.0393,66.2,22,1,11.5,US,clear sky
162,New Norfolk,-42.7826,147.0587,61.0,76,20,9.22,AU,few clouds
