City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Durazno,51.1786,49.6769,32.67,99,100,3.04,RU,2021-04-03 15:27:45
1,Durazno,-28.783,32.0377,71.71,69,86,14.05,ZA,2021-04-03 15:27:46
2,Durazno,-33.6971,-53.4616,74.62,53,49,8.08,UY,2021-04-03 15:27:46
3,Durazno,42.6001,-73.9662,42.01,21,0,8.72,US,2021-04-03 15:24:40
4,Durazno,19.7297,-155.09,68.0,83,75,3.96,US,2021-04-03 15:22:49
5,Durazno,59.0556,80.8572,33.37,98,100,8.84,RU,2021-04-03 15:27:47
6,Durazno,-54.8,-68.3,39.2,93,90,28.77,AR,2021-04-03 15:24:52
7,Durazno,78.2186,15.6401,17.6,73,20,10.36,SJ,2021-04-03 15:27:24
8,Durazno,69.4541,-133.0374,-14.8,76,75,3.44,CA,2021-04-03 15:27:48
9,Durazno,41.3712,-73.414,39.99,33,0,10.49,US,2021-04-03 15:27:48
10,Durazno,-21.2078,-159.775,78.8,83,40,4.61,CK,2021-04-03 15:27:49
11,Durazno,-2.0226,147.2712,78.91,86,100,7.07,PG,2021-04-03 15:27:49
12,Durazno,14.8961,-24.4956,76.32,61,17,6.87,CV,2021-04-03 15:27:19
13,Durazno,-8.9266,125.4092,61.14,93,100,3.91,TL,2021-04-03 15:27:50
14,Durazno,38.9167,34.6667,59.0,38,40,6.91,TR,2021-04-03 15:24:37
15,Durazno,-46.1927,168.8643,57.99,59,34,17.0,NZ,2021-04-03 15:27:51
16,Durazno,28.017,-97.5169,73.4,60,75,12.66,US,2021-04-03 15:27:51
17,Durazno,10.767,75.9252,84.2,70,40,3.44,IN,2021-04-03 15:27:51
18,Durazno,44.0306,145.8556,39.79,95,100,9.8,RU,2021-04-03 15:27:52
19,Durazno,-33.9258,18.4232,80.01,31,0,6.91,ZA,2021-04-03 15:25:43
20,Durazno,52.1,23.7,45.18,42,100,12.64,BY,2021-04-03 15:27:52
21,Durazno,50.5994,97.5228,19.24,87,21,2.13,RU,2021-04-03 15:27:53
22,Durazno,68.2191,-135.0107,-9.4,77,90,5.75,CA,2021-04-03 15:27:54
23,Durazno,44.6714,-103.8522,62.01,20,1,4.61,US,2021-04-03 15:27:54
24,Durazno,-6.6447,-51.995,87.15,58,50,3.11,BR,2021-04-03 15:27:36
25,Durazno,-33.65,115.3333,66.0,76,100,3.0,AU,2021-04-03 15:27:55
26,Durazno,24.9,-76.2,67.89,68,92,26.75,BS,2021-04-03 15:27:55
27,Durazno,37.7167,-25.4333,64.4,77,75,23.02,PT,2021-04-03 15:27:56
28,Durazno,-53.15,-70.9167,46.4,76,40,33.38,CL,2021-04-03 15:27:56
29,Durazno,-34.4833,-54.3333,73.06,62,85,7.45,UY,2021-04-03 15:27:57
30,Durazno,22.2855,114.1577,79.0,69,9,4.43,HK,2021-04-03 15:27:11
31,Durazno,34.6667,138.95,61.0,83,83,4.07,JP,2021-04-03 15:27:57
32,Durazno,-24.7911,-50.0119,70.09,61,63,4.61,BR,2021-04-03 15:25:33
33,Durazno,20.1986,1.0114,94.66,4,0,11.05,ML,2021-04-03 15:27:58
34,Durazno,36.0751,32.8369,64.4,63,20,8.05,TR,2021-04-03 15:27:58
35,Durazno,-19.8436,34.8389,84.0,61,20,6.91,MZ,2021-04-03 15:27:59
